x:0	y:0	width:1000	height:1610	text:-1	confidence:nan	level:1	isAnnotation:False
x:63	y:151	width:660	height:890	text:-1	confidence:nan	level:2	isAnnotation:False
x:139	y:151	width:582	height:61	text:-1	confidence:nan	level:3	isAnnotation:False
x:139	y:151	width:582	height:30	text:-1	confidence:nan	level:4	isAnnotation:False
x:139	y:151	width:230	height:23	text:92	confidence:CATECHISME	level:5	isAnnotation:False
x:384	y:151	width:47	height:22	text:94	confidence:DU	level:5	isAnnotation:False
x:446	y:151	width:201	height:29	text:76	confidence:JARDINIER.	level:5	isAnnotation:False
x:682	y:160	width:39	height:21	text:73	confidence:117	level:5	isAnnotation:False
x:302	y:191	width:184	height:21	text:-1	confidence:nan	level:4	isAnnotation:False
x:302	y:191	width:21	height:21	text:94	confidence:K	level:5	isAnnotation:False
x:336	y:193	width:20	height:19	text:94	confidence:A	level:5	isAnnotation:False
x:371	y:192	width:16	height:20	text:94	confidence:R	level:5	isAnnotation:False
x:403	y:192	width:13	height:20	text:90	confidence:P	level:5	isAnnotation:False
x:431	y:191	width:19	height:20	text:92	confidence:O	level:5	isAnnotation:False
x:465	y:191	width:21	height:20	text:90	confidence:S.	level:5	isAnnotation:False
x:93	y:225	width:630	height:55	text:-1	confidence:nan	level:3	isAnnotation:False
x:93	y:225	width:630	height:30	text:-1	confidence:nan	level:4	isAnnotation:False
x:93	y:228	width:62	height:22	text:92	confidence:Moi?	level:5	isAnnotation:False
x:164	y:227	width:61	height:28	text:80	confidence:point	level:5	isAnnotation:False
x:239	y:227	width:27	height:21	text:87	confidence:du	level:5	isAnnotation:False
x:278	y:232	width:56	height:19	text:92	confidence:tout,	level:5	isAnnotation:False
x:345	y:227	width:19	height:26	text:92	confidence:je	level:5	isAnnotation:False
x:375	y:226	width:54	height:22	text:83	confidence:rn'eu	level:5	isAnnotation:False
x:439	y:225	width:109	height:22	text:76	confidence:dormerais	level:5	isAnnotation:False
x:557	y:225	width:48	height:21	text:91	confidence:bien	level:5	isAnnotation:False
x:616	y:225	width:25	height:21	text:81	confidence:de	level:5	isAnnotation:False
x:651	y:226	width:72	height:28	text:72	confidence:garde.'	level:5	isAnnotation:False
x:292	y:258	width:203	height:22	text:-1	confidence:nan	level:4	isAnnotation:False
x:292	y:259	width:20	height:20	text:95	confidence:T	level:5	isAnnotation:False
x:327	y:259	width:21	height:20	text:93	confidence:U	level:5	isAnnotation:False
x:363	y:259	width:18	height:21	text:96	confidence:C	level:5	isAnnotation:False
x:395	y:259	width:20	height:20	text:93	confidence:T	level:5	isAnnotation:False
x:429	y:259	width:21	height:20	text:99	confidence:A	level:5	isAnnotation:False
x:463	y:258	width:32	height:21	text:95	confidence:N.	level:5	isAnnotation:False
x:66	y:292	width:654	height:57	text:-1	confidence:nan	level:3	isAnnotation:False
x:93	y:292	width:627	height:29	text:-1	confidence:nan	level:4	isAnnotation:False
x:93	y:295	width:28	height:20	text:91	confidence:Et	level:5	isAnnotation:False
x:139	y:294	width:105	height:27	text:81	confidence:pourquoi	level:5	isAnnotation:False
x:263	y:293	width:139	height:22	text:76	confidence:refuferais-tu	level:5	isAnnotation:False
x:419	y:293	width:79	height:21	text:82	confidence:d’obéir	level:5	isAnnotation:False
x:513	y:293	width:12	height:21	text:61	confidence:t	level:5	isAnnotation:False
x:543	y:298	width:39	height:16	text:91	confidence:ton	level:5	isAnnotation:False
x:598	y:292	width:54	height:28	text:77	confidence:Papa	level:5	isAnnotation:False
x:668	y:293	width:52	height:21	text:78	confidence:Gree	level:5	isAnnotation:False
x:66	y:327	width:307	height:22	text:-1	confidence:nan	level:4	isAnnotation:False
x:66	y:328	width:50	height:21	text:77	confidence:daus	level:5	isAnnotation:False
x:128	y:334	width:39	height:15	text:85	confidence:une	level:5	isAnnotation:False
x:177	y:327	width:92	height:22	text:83	confidence:occalion	level:5	isAnnotation:False
x:280	y:327	width:14	height:21	text:87	confidence:fi	level:5	isAnnotation:False
x:306	y:327	width:67	height:21	text:90	confidence:belle?	level:5	isAnnotation:False
x:284	y:362	width:202	height:28	text:-1	confidence:nan	level:3	isAnnotation:False
x:284	y:362	width:202	height:28	text:-1	confidence:nan	level:4	isAnnotation:False
x:284	y:362	width:202	height:28	text:43	confidence:_KARPOS,	level:5	isAnnotation:False
x:65	y:397	width:654	height:98	text:-1	confidence:nan	level:3	isAnnotation:False
x:93	y:397	width:626	height:29	text:-1	confidence:nan	level:4	isAnnotation:False
x:93	y:397	width:54	height:23	text:74	confidence:tyeit	level:5	isAnnotation:False
x:162	y:405	width:38	height:21	text:91	confidence:que	level:5	isAnnotation:False
x:214	y:399	width:18	height:26	text:89	confidence:je	level:5	isAnnotation:False
x:247	y:405	width:50	height:15	text:92	confidence:vous	level:5	isAnnotation:False
x:311	y:399	width:18	height:20	text:87	confidence:ai	level:5	isAnnotation:False
x:341	y:398	width:36	height:21	text:78	confidence:fair	level:5	isAnnotation:False
x:392	y:398	width:87	height:21	text:87	confidence:ferment	level:5	isAnnotation:False
x:489	y:397	width:144	height:25	text:70	confidence:d'robéifrance,	level:5	isAnnotation:False
x:646	y:397	width:22	height:22	text:69	confidence:&	level:5	isAnnotation:False
x:678	y:403	width:41	height:22	text:74	confidence:que	level:5	isAnnotation:False
x:65	y:432	width:654	height:30	text:-1	confidence:nan	level:4	isAnnotation:False
x:65	y:435	width:19	height:26	text:89	confidence:je	level:5	isAnnotation:False
x:97	y:432	width:37	height:23	text:89	confidence:fais	level:5	isAnnotation:False
x:150	y:433	width:48	height:23	text:90	confidence:bien	level:5	isAnnotation:False
x:208	y:441	width:39	height:21	text:93	confidence:que	level:5	isAnnotation:False
x:257	y:434	width:19	height:21	text:93	confidence:le	level:5	isAnnotation:False
x:285	y:435	width:50	height:20	text:81	confidence:Toa	level:5	isAnnotation:False
