x:787	y:292	width:149	height:32	text:48	confidence:”th1	level:5	isAnnotation:False
x:63	y:314	width:874	height:522	text:-1	confidence:nan	level:2	isAnnotation:False
x:73	y:314	width:864	height:121	text:-1	confidence:nan	level:3	isAnnotation:False
x:73	y:314	width:864	height:59	text:-1	confidence:nan	level:4	isAnnotation:False
x:73	y:319	width:33	height:25	text:92	confidence:its	level:5	isAnnotation:False
x:114	y:314	width:95	height:29	text:88	confidence:fetters	level:5	isAnnotation:False
x:220	y:315	width:55	height:29	text:91	confidence:and	level:5	isAnnotation:False
x:284	y:316	width:113	height:37	text:89	confidence:charms,	level:5	isAnnotation:False
x:416	y:321	width:53	height:28	text:90	confidence:and	level:5	isAnnotation:False
x:481	y:323	width:73	height:28	text:89	confidence:draw	level:5	isAnnotation:False
x:566	y:334	width:29	height:18	text:93	confidence:us	level:5	isAnnotation:False
x:605	y:334	width:30	height:20	text:95	confidence:to	level:5	isAnnotation:False
x:644	y:326	width:73	height:31	text:79	confidence:him;	level:5	isAnnotation:False
x:728	y:329	width:35	height:36	text:43	confidence:I
5	1	7	1	1	11	780	333	88	40	59	Ntr?ss
5	1	7	1	1	12	884	322	53	41	44		level:5	isAnnotation:False
x:73	y:354	width:776	height:53	text:-1	confidence:nan	level:4	isAnnotation:False
x:73	y:354	width:60	height:29	text:88	confidence:felf.	level:5	isAnnotation:False
x:177	y:355	width:52	height:28	text:92	confidence:We	level:5	isAnnotation:False
x:238	y:356	width:102	height:29	text:88	confidence:readin	level:5	isAnnotation:False
x:351	y:356	width:48	height:29	text:90	confidence:the	level:5	isAnnotation:False
x:412	y:359	width:74	height:39	text:74	confidence:[tory	level:5	isAnnotation:False
x:496	y:360	width:87	height:31	text:88	confidence:ofthe	level:5	isAnnotation:False
x:599	y:365	width:116	height:41	text:57	confidence:'Deluge-,	level:5	isAnnotation:False
x:730	y:386	width:27	height:19	text:56	confidence:n,	level:5	isAnnotation:False
x:763	y:370	width:86	height:37	text:38	confidence:and.	level:5	isAnnotation:False
x:74	y:393	width:642	height:42	text:-1	confidence:nan	level:4	isAnnotation:False
x:74	y:393	width:60	height:29	text:92	confidence:that	level:5	isAnnotation:False
x:162	y:393	width:30	height:28	text:81	confidence:fo	level:5	isAnnotation:False
x:211	y:395	width:72	height:40	text:90	confidence:long	level:5	isAnnotation:False
x:304	y:405	width:27	height:18	text:93	confidence:as	level:5	isAnnotation:False
x:351	y:396	width:47	height:29	text:93	confidence:the	level:5	isAnnotation:False
x:418	y:397	width:79	height:31	text:78	confidence:earth	level:5	isAnnotation:False
