train-loss,train-tn,train-fp,train-fn,train-tp,train-f1_pos,train-f1_neg,val-loss,val-tn,val-fp,val-fn,val-tp,val-f1_pos,val-f1_neg
0.2706195761170806,5353,779,641,5365,0.8831275720164609,0.8828962559788883,0.7872046272923368,2040,0,1093,909,0.6245276537272415,0.7887106127972164
0.15801188358808393,6000,132,674,5332,0.9297297297297299,0.9370607527721381,1.7031507794070162,839,1201,0,2002,0.7692603266090298,0.5828412643278916
0.1295221420801399,6021,111,529,5477,0.9447990339830947,0.9495347736950008,0.6988222979484721,865,1175,0,2002,0.7731222243676386,0.59552495697074
0.11247106344195248,6127,5,494,5512,0.9566953050420898,0.9608719516976397,0.13862341459801827,2040,0,194,1808,0.9490813648293962,0.9546092653252223
0.10974837389671345,6108,24,482,5524,0.956205643067336,0.9602263795000786,0.06344336364925172,2040,0,92,1910,0.976482617586912,0.977948226270374
0.10918461472350932,6087,45,503,5503,0.9525705383416998,0.9569250117905989,2.1333979858377674,2040,0,1574,428,0.3522633744855967,0.7216130173328617
0.10676113252946486,6086,46,447,5559,0.9575402635431919,0.9610738255033557,0.08155547480206275,2032,8,46,1956,0.9863842662632375,0.9868868382710054
0.10206829994446728,6130,2,436,5570,0.962169632060805,0.9655063789573161,0.46620908270431943,2040,0,524,1478,0.8494252873563218,0.8861859252823631
0.10373469670716728,6100,32,446,5560,0.9587859975857906,0.9622968922542989,0.30672043157886125,2040,0,359,1643,0.9015089163237312,0.9191259292633476
0.09305476776495622,6131,1,420,5586,0.9636849823169155,0.9668059607348419,0.07341120598901327,2038,2,40,1962,0.989409984871407,0.9898008742107819
0.09451297994455683,6131,1,433,5573,0.9625215889464594,0.9658160050409577,0.053999572319523764,2040,0,67,1935,0.9829819659639318,0.9838437424644321
0.09975754705525187,6131,1,439,5567,0.9619837566960429,0.9653597858604944,1.764809907278998,2040,0,1419,583,0.451063829787234,0.7419530823786143
0.09453786248063448,6124,8,391,5615,0.9656892252128302,0.9684510160512375,0.57208340317527,2040,0,602,1400,0.823045267489712,0.8714224690303289
0.09497031527710258,6112,20,475,5531,0.957168815436532,0.96108184605708,0.677452800564103,2040,0,586,1416,0.828554710356934,0.8744106300900129
0.10028384460793392,6129,3,442,5564,0.9615484316944612,0.964968904983075,0.4246790853984754,1172,868,0,2002,0.82183908045977,0.7297633872976338
0.09341933345368439,6131,1,443,5563,0.9616248919619707,0.9650558791122303,0.051738723183031396,2040,0,67,1935,0.9829819659639318,0.9838437424644321
0.09064620520080466,6105,27,422,5584,0.961349746061806,0.9645311635990205,0.527627344122032,2040,0,518,1484,0.8514056224899599,0.8873423227490214
0.08510099771383627,6108,24,382,5624,0.9651621760768835,0.9678339407383934,1.2359466822887044,985,1055,0,2002,0.7914607629966396,0.6512396694214876
0.10074508083718163,6077,55,450,5556,0.9565292244124989,0.9601074334465598,0.23141431435021004,2039,1,228,1774,0.939369870267408,0.9468307406547481
0.08693457233894007,6130,2,409,5597,0.9645842309349417,0.967563728198248,0.1541508109940567,1311,729,0,2002,0.8459750686668075,0.782452999104745
0.08739312994113559,6082,50,396,5610,0.9617692439567975,0.9646312450436161,0.7759418906049526,1072,968,0,2002,0.8053097345132744,0.6889460154241646
0.08457243160422462,6132,0,418,5588,0.9639468690702088,0.9670398990695473,0.8520614334051707,2040,0,795,1207,0.7522592708008725,0.8369230769230769
0.08000011360347958,6129,3,405,5601,0.9648578811369509,0.9677877783041212,1.0620222018533034,2040,0,884,1118,0.7166666666666666,0.8219178082191781
0.09920178823422258,6101,31,417,5589,0.961465680371581,0.9645849802371542,0.2182014536689497,2040,0,220,1782,0.9418604651162791,0.9488372093023255
0.0814039585392196,6131,1,384,5622,0.9668931120474674,0.9695579979441765,0.051935396183471996,2036,4,40,1962,0.9889112903225807,0.989310009718173
0.08476143907988866,6130,2,403,5603,0.965119283438119,0.9680221081721279,0.6465865501314623,2040,0,643,1359,0.8086878905087772,0.8638577175524033
0.08889464790934215,6108,24,395,5611,0.9640065286487416,0.966838148001583,1.1446784860364638,1033,1007,0,2002,0.7990421073637997,0.6723071916693785
0.10496780794978751,6100,32,451,5555,0.9583369274562236,0.9619175273988805,0.27678213599573437,2040,0,355,1647,0.9027130720745409,0.9199549041713642
0.10121675826545297,6067,65,423,5583,0.9581259653337909,0.9613373474885121,0.8017761051684308,1084,956,0,2002,0.807258064516129,0.6939820742637645
0.0815136193103375,6104,28,398,5608,0.963408349080914,0.9662814627196453,0.05319153610893416,2040,0,62,1940,0.9842719431760528,0.9850313858039594
0.08209437194798547,6131,1,386,5620,0.9667154038014966,0.9694046960234011,0.04405236037568784,2038,2,41,1961,0.989155107187894,0.9895605729546005
0.0848677699139698,6131,1,414,5592,0.9642210535390981,0.9672635481580816,5.902803202774901,263,1777,0,2002,0.6926137346479848,0.22839774207555366
0.08340777249088822,6128,4,355,5651,0.9692136180430494,0.9715418152992469,0.4771258494955428,2040,0,444,1558,0.8752808988764045,0.9018567639257293
0.07890600596997605,6130,2,382,5624,0.9669876203576342,0.969629863967099,0.5061031612118302,2040,0,539,1463,0.8444444444444443,0.8833080753409829
0.07942781562203825,6104,28,368,5638,0.9660726525017135,0.9685814027292923,0.06735455005889125,2036,4,33,1969,0.990691823899371,0.9909953760038939
0.08258499186605701,6131,1,364,5642,0.9686668383552237,0.9710936881286133,0.09699810907192379,2040,0,97,1905,0.9751727668287689,0.9767775915728992
0.08573604139569496,6108,24,376,5630,0.9656946826758147,0.968294229549778,0.29762024715181506,1203,837,0,2002,0.8271018384631275,0.7419056429232193
