train-loss,train-tn,train-fp,train-fn,train-tp,train-f1_pos,train-f1_neg,val-loss,val-tn,val-fp,val-fn,val-tp,val-f1_pos,val-f1_neg
0.3200421148838041,3462,399,613,3249,0.8652463382157123,0.8724798387096775,1.604378842841352,107,1902,1,1468,0.6067369291175863,0.10108644307982993
0.1760222842138071,3669,192,342,3520,0.9294956429891734,0.9321646341463414,0.5051755237812418,1787,222,455,1014,0.7497227356746764,0.8407433545048223
0.1588665795622597,3699,162,312,3550,0.9374174808555585,0.9397865853658536,0.5006500110330082,1604,405,75,1394,0.8531211750305998,0.8698481561822127
0.1514887446784825,3721,140,313,3549,0.9400079459674215,0.9426219126029132,0.7471582400791943,1462,547,22,1447,0.8356915968813169,0.8371027769825364
0.14936523226688025,3704,157,299,3563,0.9398575573727249,0.9420142421159715,1.665486304426824,167,1842,1,1468,0.6143544674618121,0.15342214056040424
0.14286209567831415,3721,140,288,3574,0.9435058078141499,0.9456162642947904,0.6668685014183456,1839,170,632,837,0.6760904684975767,0.8209821428571428
0.14509789482054278,3720,141,298,3564,0.9419849345843796,0.9442822693235182,0.5726556279934845,1603,406,108,1361,0.8411619283065515,0.8618279569892473
0.14226846287523112,3719,142,330,3532,0.9373673036093418,0.9403286978508217,0.5282247119967179,1767,242,409,1060,0.7650667629014797,0.8444444444444444
0.14023395253326798,3727,134,298,3564,0.9428571428571428,0.9452193761095612,0.6201109571179966,1558,451,54,1415,0.8485757121439281,0.8605357636012151
0.12637124287484763,3741,120,260,3602,0.9498945147679325,0.9516662426863395,2.927280734639664,166,1843,1,1468,0.614225941422594,0.1525735294117647
0.124888535420635,3749,112,254,3608,0.9517277763123186,0.9534587995930824,0.9148991410933808,1945,64,886,583,0.5510396975425331,0.8037190082644629
0.1243424340571268,3755,106,256,3606,0.9522049115394772,0.9540142276422765,0.5080455512648139,1659,350,131,1338,0.8476401647133355,0.8733877336141089
0.12091175471695997,3749,112,272,3590,0.9492332099418296,0.951281400659731,0.4990916960776846,1751,258,363,1106,0.7807977409106953,0.8493815183119088
0.12302012206721488,3754,107,274,3588,0.9495831679237792,0.9517049055647102,0.544095661600408,1763,246,405,1064,0.765743073047859,0.844146516638736
0.12501736546846215,3754,107,257,3605,0.9519408502772644,0.953760162601626,0.5499330119129705,1619,390,80,1389,0.8552955665024632,0.8732470334412081
0.11904481439628735,3755,106,253,3609,0.9526197703576613,0.9543779387469817,1.3985562835225023,1981,28,1085,384,0.4082934609250399,0.7806896551724137
0.11074672499098773,3762,99,256,3606,0.9530857671468218,0.9549435207513643,0.5819234741940589,1696,313,250,1219,0.8123958680439853,0.8576485461441213
0.11667223917697819,3764,97,261,3601,0.9526455026455025,0.9546030940907938,1.4096607379422508,384,1625,1,1468,0.643577378342832,0.3208020050125313
0.11250691038871018,3762,99,253,3609,0.9535006605019815,0.9553072625698324,1.6839896220458932,302,1707,1,1468,0.632213608957795,0.2612456747404844
0.11494152415092786,3761,100,244,3618,0.9546174142480212,0.9562674802949402,1.1018492603452814,1961,48,948,521,0.5112855740922474,0.7974786498576656
0.10957106814477229,3762,99,257,3605,0.9529473962463654,0.9548223350253806,0.6203727867837745,1860,149,599,870,0.6993569131832797,0.8325872873769024
0.11058545909280776,3760,101,260,3602,0.9522802379378716,0.9541936302499682,0.5019875305558568,1881,128,526,943,0.74251968503937,0.8519021739130435
0.11338720894664059,3763,98,266,3596,0.9518263631551086,0.9538656527249683,0.9923993811105571,1947,62,811,658,0.6011877569666514,0.81686595342983
0.10661359823430802,3769,92,250,3612,0.9547977795400475,0.9565989847715736,2.0101876944354924,1980,29,1087,382,0.40638297872340423,0.7801418439716312
0.1097508863074806,3767,94,257,3605,0.9535775691046158,0.9554850982878884,0.4905462798680157,1796,213,358,1111,0.7955603293949159,0.8628392985827529
0.11091242979034525,3758,103,260,3602,0.9520285449980177,0.9539281634725219,2.8931221879714517,2002,7,1379,90,0.11494252873563218,0.742857142857143
0.11002034624206669,3760,101,263,3599,0.9518645860883365,0.9538305428716387,0.6300614603707816,1804,205,495,974,0.7356495468277946,0.8375116063138348
0.09952759200946572,3779,82,236,3626,0.9579920739762219,0.9596241747079737,0.7744459391257213,1845,164,594,875,0.6977671451355661,0.8295863309352517
0.10137664946260407,3781,80,242,3620,0.957418672308913,0.9591577879249112,1.3294325852750566,1968,41,1053,416,0.4319833852544133,0.7825049701789264
0.10525521605041505,3778,83,256,3606,0.9551052840683354,0.9570614312856237,0.7440216121075823,1746,263,426,1043,0.7517117117117118,0.8352068883042334
0.11505875460466819,3754,107,248,3614,0.9531847553738626,0.9548518377209717,3.440305765090556,155,1854,0,1469,0.6131051752921536,0.1432532347504621
0.10673966086464164,3771,90,254,3608,0.9544973544973545,0.9563783920872432,0.6299431094018257,1654,355,148,1321,0.8400635930047694,0.868013644712674
0.10174220910957404,3781,80,247,3615,0.9567288606589917,0.9585498795791608,1.360339253369661,1932,77,1002,467,0.46398410332836565,0.7817115112279991
0.09502643983505804,3788,73,217,3645,0.9617414248021108,0.9631324688532926,1.9871272990044127,315,1694,5,1464,0.6328074346228657,0.270502361528553
0.10036598041144258,3780,81,238,3624,0.9578432668164397,0.9595126285061556,0.530586523492834,1671,338,146,1323,0.8453674121405751,0.8734971249346576
0.1027388114534742,3767,94,234,3628,0.9567510548523207,0.9582803357924191,1.2777517933212112,1387,622,15,1454,0.8203102961918196,0.8132512459689242
0.09361655095735162,3786,75,235,3627,0.959016393442623,0.9606698807409286,1.0995314979498383,1413,596,8,1461,0.8287010777084515,0.8239067055393585
